Node,Neighbors
0,4705:98.44884230994855;9487:384.54777595400554
1,4705:98.44884230994855;9487:384.54777595400554
2,4747:192.00286779047775;32130:299.8882153467976
3,4747:192.00286779047775;32130:299.8882153467976
4,35822:582.8253851335368;4750:62.01427205748557
5,35822:582.8253851335368;4750:62.01427205748557
6,4753:243.10100498619764;31058:293.3893488758531
7,4753:243.10100498619764;31058:293.3893488758531
8,31270:194.86211629032013
9,31270:194.86211629032013
10,4768:7.882830265419356;35824:412.8395684462598
11,4768:7.882830265419356;35824:412.8395684462598
12,4774:253.9231776056241;31126:713.3841261263906
13,4774:253.9231776056241;31126:713.3841261263906
14,4777:102.28887189069567;31070:108.7136362120766
15,4777:102.28887189069567;31070:108.7136362120766
16,31074:68.63045533810302;6226:213.11919237112323
17,31074:68.63045533810302;6226:213.11919237112323
18,4783:271.1360178746922;10855:119.38698688892377
19,4783:271.1360178746922;10855:119.38698688892377
20,22:5.979351706603323;3628:285.20781276834657
21,22:5.979351706603323;3628:285.20781276834657
22,20:5.979351706603323;25693:203.50282124333617
23,20:5.979351706603323;25693:203.50282124333617
24,4819:354.09601656990964;6424:432.9968521390389
25,4819:354.09601656990964;6424:432.9968521390389
26,4831:74.00636966661094;27457:682.4810496426772
27,4831:74.00636966661094;27457:682.4810496426772
28,35832:389.3573942532684;4840:211.06352208991956
29,35832:389.3573942532684;4840:211.06352208991956
30,4858:105.31957976951635;5632:58.697837029008504
31,4858:105.31957976951635;5632:58.697837029008504
32,4867:42.06112338046879;5959:111.82167507505193
33,4867:42.06112338046879;5959:111.82167507505193
34,36:93.13625113482854;31098:84.58854110511766
35,36:93.13625113482854;31098:84.58854110511766
36,34:93.13625113482854;5920:114.8767913339399
37,34:93.13625113482854;5920:114.8767913339399
38,4921:95.339494643992;4972:471.7750496867067
39,4921:95.339494643992;4972:471.7750496867067
40,4939:191.8445940105282;4942:37.759356456161036
41,4939:191.8445940105282;4942:37.759356456161036
42,4945:229.07678394007465
43,4945:229.07678394007465
44,
45,
46,
47,
48,4948:275.497682171695;102:410.43283946861555
49,4948:275.497682171695;102:410.43283946861555
50,35843:237.21333786173284;1176:91.57758474337506
51,35843:237.21333786173284;1176:91.57758474337506
52,4954:115.1927660238403;11407:48.58182962880231
53,4954:115.1927660238403;11407:48.58182962880231
54,29614:27.434175766452725
55,29614:27.434175766452725
56,4960:267.8611257734146;7141:694.0304417089523
57,4960:267.8611257734146;7141:694.0304417089523
58,4975:948.2123655447174;1806:71.49457429654203
59,4975:948.2123655447174;1806:71.49457429654203
60,35845:242.68934557641552;9760:1268.8906560733528
61,35845:242.68934557641552;9760:1268.8906560733528
62,5035:23.98477693498439
63,5035:23.98477693498439
64,
65,
66,35848:141.58876524954533;5044:75.10239414097592
67,35848:141.58876524954533;5044:75.10239414097592
68,5065:326.36060967974043;31426:516.5800527528622
69,5065:326.36060967974043;31426:516.5800527528622
70,5077:171.59390631034825;834:1038.960369062048
71,5077:171.59390631034825;834:1038.960369062048
72,5083:311.06302366955344;36871:844.9367551693284
73,5083:311.06302366955344;36871:844.9367551693284
74,5101:379.07673347464316;5374:168.39018543672336
75,5101:379.07673347464316;5374:168.39018543672336
76,5104:107.56806578904053;7498:113.33337939861161
77,5104:107.56806578904053;7498:113.33337939861161
78,39227:640.707514723394
79,39227:640.707514723394
80,8698:294.5657151535655
81,8698:294.5657151535655
82,31110:375.1620331542365;36470:157.035617752499
83,31110:375.1620331542365;36470:157.035617752499
84,86:199.23291618315173;10390:158.0869763691045
85,86:199.23291618315173;10390:158.0869763691045
86,84:199.23291618315173;14176:77.90575410522032
87,84:199.23291618315173;14176:77.90575410522032
88,5191:198.57852971305877;5194:888.1533710268025
89,5191:198.57852971305877;5194:888.1533710268025
90,5197:259.05451966779754;31482:326.1636147431217
91,5197:259.05451966779754;31482:326.1636147431217
92,35858:123.40624271974421;5200:185.45722504730213
93,35858:123.40624271974421;5200:185.45722504730213
94,5203:48.24622057796211;8806:33.86898866319194
95,5203:48.24622057796211;8806:33.86898866319194
96,29563:7.7528059439662345
97,29563:7.7528059439662345
98,30097:33.04001127023178
99,30097:33.04001127023178
100,31142:69.64763730042408;424:91.52057341747455
101,31142:69.64763730042408;424:91.52057341747455
102,48:410.43283946861555;17944:113.98878481161711
103,48:410.43283946861555;17944:113.98878481161711
104,5224:251.973777387439;15367:801.9201959539433
105,5224:251.973777387439;15367:801.9201959539433
106,5254:381.1069082631657;36694:139.06110684455226
107,5254:381.1069082631657;36694:139.06110684455226
108,5266:312.7161641424759;39403:88.64868672466258
109,5266:312.7161641424759;39403:88.64868672466258
110,112:389.8874312083827;2178:40.791493235953034
111,112:389.8874312083827;2178:40.791493235953034
112,110:389.8874312083827;22456:629.7630317261104
113,110:389.8874312083827;22456:629.7630317261104
114,5281:170.57666001323204;3410:38.181222237337316
115,5281:170.57666001323204;3410:38.181222237337316
116,5284:1125.9711149054976;13909:54.04727133556501
117,5284:1125.9711149054976;13909:54.04727133556501
118,120:38.96266061197437;31618:148.04926274712076
119,120:38.96266061197437;31618:148.04926274712076
120,118:38.96266061197437;17461:572.0592390369574
121,118:38.96266061197437;17461:572.0592390369574
