Node,Neighbors
0,4705:96.80509854139667;9487:384.2188356663285
1,4705:96.80509854139667;9487:384.2188356663285
2,4747:31.259835291622196;32130:25.757131750807712
3,4747:31.259835291622196;32130:25.757131750807712
4,35822:106.70302401281981;4750:1.678411751062742
5,35822:106.70302401281981;4750:1.678411751062742
6,4753:103.20643635923516;31058:145.80603026906266
7,4753:103.20643635923516;31058:145.80603026906266
8,31270:154.65919376712299
9,31270:154.65919376712299
10,4768:7.882830265419356;35824:412.8395684462598
11,4768:7.882830265419356;35824:412.8395684462598
12,4774:253.9231776056241;31126:713.3841261263906
13,4774:253.9231776056241;31126:713.3841261263906
14,4777:102.28887189069567;31070:108.7136362120766
15,4777:102.28887189069567;31070:108.7136362120766
16,31074:68.63045533810302;6226:213.11919237112323
17,31074:68.63045533810302;6226:213.11919237112323
18,4783:271.1360178746922;10855:119.38698688892377
19,4783:271.1360178746922;10855:119.38698688892377
20,22:5.979351706603323;3628:285.20781276834657
21,22:5.979351706603323;3628:285.20781276834657
22,20:5.979351706603323;25693:203.50282124333617
23,20:5.979351706603323;25693:203.50282124333617
24,4819:351.2152713478381;6424:404.778762331455
25,4819:351.2152713478381;6424:404.778762331455
26,4831:71.38776589054945;27457:659.8028264209647
27,4831:71.38776589054945;27457:659.8028264209647
28,35832:372.4390306403328;4840:187.05081169671791
29,35832:372.4390306403328;4840:187.05081169671791
30,4858:105.31957976951635;5632:58.697837029008504
31,4858:105.31957976951635;5632:58.697837029008504
32,4867:35.93355409728749;5959:94.7498816781627
33,4867:35.93355409728749;5959:94.7498816781627
34,36:80.46675866735472;31098:70.55924616895999
35,36:80.46675866735472;31098:70.55924616895999
36,34:80.46675866735472;5920:103.59975916076856
37,34:80.46675866735472;5920:103.59975916076856
38,4921:68.75810767141431;4972:326.2918929291513
39,4921:68.75810767141431;4972:326.2918929291513
40,4939:191.8445940105282;4942:37.759356456161036
41,4939:191.8445940105282;4942:37.759356456161036
42,4945:17.95135913586636
43,4945:17.95135913586636
44,
45,
46,
47,
48,4948:275.497682171695;102:410.43283946861555
49,4948:275.497682171695;102:410.43283946861555
50,35843:89.92001131386681;1176:32.158924527191665
51,35843:89.92001131386681;1176:32.158924527191665
52,4954:67.61246185151884;11407:27.967685258742677
53,4954:67.61246185151884;11407:27.967685258742677
54,29614:15.940289068804663
55,29614:15.940289068804663
56,4960:204.49758905304282;7141:581.8188755603247
57,4960:204.49758905304282;7141:581.8188755603247
58,4975:948.2123655447174;1806:71.49457429654203
59,4975:948.2123655447174;1806:71.49457429654203
60,35845:116.09830981093575;9760:682.1969431724759
61,35845:116.09830981093575;9760:682.1969431724759
62,5035:11.081783434887907
63,5035:11.081783434887907
64,
65,
66,35848:121.49182190388096;5044:64.38619450862811
67,35848:121.49182190388096;5044:64.38619450862811
68,5065:326.36060967974043;31426:516.5800527528622
69,5065:326.36060967974043;31426:516.5800527528622
70,5077:78.62809483506165;834:262.0450494430708
71,5077:78.62809483506165;834:262.0450494430708
72,5083:160.54443577590274;36871:407.7576023385653
73,5083:160.54443577590274;36871:407.7576023385653
74,5101:196.96106429751165;5374:78.21768064837808
75,5101:196.96106429751165;5374:78.21768064837808
76,5104:83.84119522608556;7498:89.83389419790453
77,5104:83.84119522608556;7498:89.83389419790453
78,39227:640.707514723394
79,39227:640.707514723394
80,8698:9.226206838439225
81,8698:9.226206838439225
82,31110:375.1620331542365;36470:157.035617752499
83,31110:375.1620331542365;36470:157.035617752499
84,86:192.44967017878244;10390:153.4919395672032
85,86:192.44967017878244;10390:153.4919395672032
86,84:192.44967017878244;14176:76.76972885521113
87,84:192.44967017878244;14176:76.76972885521113
88,5191:198.57852971305877;5194:888.1533710268025
89,5191:198.57852971305877;5194:888.1533710268025
90,5197:259.05451966779754;31482:326.1636147431217
91,5197:259.05451966779754;31482:326.1636147431217
92,35858:115.20206946078778;5200:184.3768460062544
93,35858:115.20206946078778;5200:184.3768460062544
94,5203:14.89709691148273;8806:9.573216898092824
95,5203:14.89709691148273;8806:9.573216898092824
96,29563:2.2909980626419335
97,29563:2.2909980626419335
98,30097:10.476308945936129
99,30097:10.476308945936129
100,31142:69.64763730042408;424:91.52057341747455
101,31142:69.64763730042408;424:91.52057341747455
102,48:410.43283946861555;17944:113.98878481161711
103,48:410.43283946861555;17944:113.98878481161711
104,5224:251.83740488790528;15367:778.9972371152514
105,5224:251.83740488790528;15367:778.9972371152514
106,5254:100.09489485750608;36694:30.934120157074144
107,5254:100.09489485750608;36694:30.934120157074144
108,5266:312.7161641424759;39403:88.64868672466258
109,5266:312.7161641424759;39403:88.64868672466258
110,112:268.5531425513226;2178:28.095528355622715
111,112:268.5531425513226;2178:28.095528355622715
112,110:268.5531425513226;22456:444.00856047435076
113,110:268.5531425513226;22456:444.00856047435076
114,5281:84.66669934401776;3410:19.95309713314192
115,5281:84.66669934401776;3410:19.95309713314192
116,5284:1116.6533043925622;13909:22.50349087373394
117,5284:1116.6533043925622;13909:22.50349087373394
